original_text,target,label,text,num_chars
"
No, Boston probably won't go down easy, but if the Sabres hadn't won
game one Buffalo would have been out in four.

And what problem are you having with playoff games here in
Buffalo???!!!??? There's the Sabres-Bruins, Quebec-Montreal, and
whatever ESPN and ABC show, and on opposite nights there's
Toronto-Detroit and whatever ESPN(/ABC) shows.  More hockey than a
good chunk of North America, either side of the border.  It's
wonderful, and there are thousands of folks who'd kill to be in your
shoes, coverage-wise.



",1,rec.sport.hockey,"no , boston probably won't go down easy , but if the sabres hadn't won game one buffalo would have been out in four . and what problem are you having with playoff games here in buffalo ? ? ?!!! ? ? ? there's the sabres-bruins , quebec-montreal , and whatever espn and abc show , and on opposite nights there's toronto-detroit and whatever espn(/abc) shows . more hockey than a good chunk of north america , either side of the border . it's wonderful , and there are thousands of folks who'd kill to be in your shoes , coverage-wise .",533
"


As usual, when Salah is not totally racist, she manages to get
virtually all the facts wrong.

Assad pledged to allow Jews to leave Syria, but not to go to Israel.

Unfortunately, not all of them have escaped yet, but not because they
don't want to leave;  rather, Assad went back on his word and stopped
issuing travel permits.  He claimed bureaucratic snags, but everyone
knows it was a tactic to pressure Israel.",3,talk.politics.mideast,"as usual , when salah is not totally racist , she manages to get virtually all the facts wrong . assad pledged to allow jews to leave syria , but not to go to israel . unfortunately , not all of them have escaped yet , but not because they don't want to leave; rather , assad went back on his word and stopped issuing travel permits . he claimed bureaucratic snags , but everyone knows it was a tactic to pressure israel .",422
"The Red Sox usually have 2 catchers.  I don't think they have a backup now,
but they used to use Randy Kutcher as a backup catcher, as well as a middle
infielder and outfielder.  You don't need a good 3rd catcher, just a
competent one, so you can afford to lose a little catching ability and pick
a player who can be of use elsewhere on the field.


",0,rec.sport.baseball,"the red sox usually have 2 catchers . i don't think they have a backup now , but they used to use randy kutcher as a backup catcher , as well as a middle infielder and outfielder . you don't need a good 3rd catcher , just a competent one , so you can afford to lose a little catching ability and pick a player who can be of use elsewhere on the field .",352
"

...quickly followed by...


This is the standard method for claiming non-combatant status, even
for the commanders of combat.


""Innocent civilians""???  Like the ones who set up the booby traps or
engaged in shoot-outs with soldiers or attack them with grenades or
axes? 


And the rest of the world is getting used to Arab tactics of claiming
innocence for even the most guilty of the vile murderers among them.
Keep it up long enough and it will backfire but good.
",3,talk.politics.mideast,". . .quickly followed by . . . this is the standard method for claiming non-combatant status , even for the commanders of combat . ""innocent civilians"" ? ? ? like the ones who set up the booby traps or engaged in shoot-outs with soldiers or attack them with grenades or axes ? and the rest of the world is getting used to arab tactics of claiming innocence for even the most guilty of the vile murderers among them . keep it up long enough and it will backfire but good .",471
"above
Robinson's
average.
the
easliy
REAL stats
water boy!
tons




Check your facts....Andre dawson's career Slugging pct is in the .480's
So is Winny's I would like to see your facts. Winny has probably done  
better than 129 points above with a carrer SLG of 480. Check on more  
important stats. DEFENSE, and HEART. BATTING AVERAGE. RBI's",0,rec.sport.baseball,"above robinson's average . the easliy real stats water boy! tons check your facts . . . .andre dawson's career slugging pct is in the .480's so is winny's i would like to see your facts . winny has probably done better than 129 points above with a carrer slg of 480 . check on more important stats . defense , and heart . batting average . rbi's",345
"

It is a long standing good luck Redwing's tradition to throw an octopus 
on the ice during a Stanley Cup game. They say it dates back to '52
at the Olympia when the Wings became the 1st team (I think) to sweep 
the cup in 8 games. A lot hardet to throw one from Joe Louis seats
than from the old Olympia balcony, though.",1,rec.sport.hockey,"it is a long standing good luck redwing's tradition to throw an octopus on the ice during a stanley cup game . they say it dates back to '52 at the olympia when the wings became the 1st team (i think) to sweep the cup in 8 games . a lot hardet to throw one from joe louis seats than from the old olympia balcony , though .",322
"

If it encouraged the runner to stretch his lead, it would probably
also result ina greater number of pickoffs. I think it would be a
workable rule, but it would probably be best to experiment in another
league before trying it in the bigs.",0,rec.sport.baseball,"if it encouraged the runner to stretch his lead , it would probably also result ina greater number of pickoffs . i think it would be a workable rule , but it would probably be best to experiment in another league before trying it in the bigs .",243
"
My reference is a 4 page essay in our local Star Tribute newspaper
putting the whole conflict in perspective. I will readily admit
that I am no authority in this area; however, other posteers 
asserted that *some* Muslims did join hands with Croats and
Nazis in persecuting Serbs. In any case, past actions do not
in any way validate or legitimize what is happending there now.

I sincerely do apologize to the extent the author of the essay
was wrong in making the assertion he made. 

Maybe, some student of history may put this in perspective.

Satya Prabhakar
",3,talk.politics.mideast,"my reference is a 4 page essay in our local star tribute newspaper putting the whole conflict in perspective . i will readily admit that i am no authority in this area; however , other posteers asserted that *some* muslims did join hands with croats and nazis in persecuting serbs . in any case , past actions do not in any way validate or legitimize what is happending there now . i sincerely do apologize to the extent the author of the essay was wrong in making the assertion he made . maybe , some student of history may put this in perspective . satya prabhakar",566
"I am trying to get a copy of the _official_ rules of baseball.
Someone once sent me the ISBN number of it, but I have since lost it.
Can anyone give me this information, or tell me where I can find the
book?  None of my local bookstores have it.",0,rec.sport.baseball,"i am trying to get a copy of the _official_ rules of baseball . someone once sent me the isbn number of it , but i have since lost it . can anyone give me this information , or tell me where i can find the book ? none of my local bookstores have it .",250
"Hi all,

	I got tired of waiting for a mailing list so I am going to make one....
just send me your complete e-mail address on your message and I'll send
you a confirmation and the Yankee mailing list address

-john",0,rec.sport.baseball,"hi all , i got tired of waiting for a mailing list so i am going to make one . . . . just send me your complete e-mail address on your message and i'll send you a confirmation and the yankee mailing list address -john",217
